date,mine,state,planned_production_tonnes,actual_production_tonnes,shortfall_tonnes,shortfall_pct,rainfall_mm,equipment_downtime_hrs,blasting_delayed,blasting_delay_hrs,transport_availability_pct,labour_attendance_pct,primary_shortfall_cause,financial_year,national_annual_production_000t,state_annual_production_000t,actual_production_calibrated
13-05-2022,Balaghat,Madhya Pradesh,2633.37,2537.1,96.27,3.7,5.2,0,FALSE,0,81.3,90.1,transport_issue,2022-23,2827,855.9,2537.1
14-05-2022,Balaghat,Madhya Pradesh,2633.37,2556.94,76.43,2.9,5,0,FALSE,0,90.8,100,transport_issue,2022-23,2827,855.9,2556.94
15-05-2022,Balaghat,Madhya Pradesh,2633.37,2622.18,11.19,0.4,3.4,0,FALSE,0,90.4,92.5,transport_issue,2022-23,2827,855.9,2622.18
16-05-2022,Balaghat,Madhya Pradesh,2633.37,2654.23,-20.86,-0.8,3.6,0,FALSE,0,95.6,99.6,none,2022-23,2827,855.9,2654.23
17-05-2022,Balaghat,Madhya Pradesh,2633.37,2476.13,157.24,6,5.8,0,TRUE,3.7,97.9,94.4,blasting_delay,2022-23,2827,855.9,2476.13
18-05-2022,Balaghat,Madhya Pradesh,2633.37,2404.84,228.53,8.7,5.2,0,TRUE,5.1,100,93.1,blasting_delay,2022-23,2827,855.9,2404.84
19-05-2022,Balaghat,Madhya Pradesh,2633.37,2506.02,127.35,4.8,4,0,FALSE,0,88,100,transport_issue,2022-23,2827,855.9,2506.02
20-05-2022,Balaghat,Madhya Pradesh,2633.37,2370.67,262.7,10,4.2,5,TRUE,3.3,100,96.3,equipment_failure,2022-23,2827,855.9,2370.67
21-05-2022,Balaghat,Madhya Pradesh,2633.37,2374.36,259.01,9.8,1.6,3.7,FALSE,0,93.3,95.1,equipment_failure,2022-23,2827,855.9,2374.36
22-05-2022,Balaghat,Madhya Pradesh,2633.37,2654.56,-21.19,-0.8,4.7,0,FALSE,0,92.3,99.8,none,2022-23,2827,855.9,2654.56
23-05-2022,Balaghat,Madhya Pradesh,2633.37,2566.11,67.26,2.6,10.6,0,FALSE,0,100,91.8,labour_shortage,2022-23,2827,855.9,2566.11
24-05-2022,Balaghat,Madhya Pradesh,2633.37,2545.48,87.89,3.3,2.9,0,FALSE,0,83.9,87.3,transport_issue,2022-23,2827,855.9,2545.48
25-05-2022,Balaghat,Madhya Pradesh,2633.37,2615.71,17.66,0.7,4.4,0,FALSE,0,84.1,100,transport_issue,2022-23,2827,855.9,2615.71
26-05-2022,Balaghat,Madhya Pradesh,2633.37,2333.71,299.66,11.4,3.1,5.6,FALSE,0,90.3,94.5,equipment_failure,2022-23,2827,855.9,2333.71
27-05-2022,Balaghat,Madhya Pradesh,2633.37,2688.44,-55.07,-2.1,7.7,0,FALSE,0,100,96.2,none,2022-23,2827,855.9,2688.44
28-05-2022,Balaghat,Madhya Pradesh,2633.37,2620.86,12.51,0.5,2.3,0,FALSE,0,95.7,97.8,transport_issue,2022-23,2827,855.9,2620.86
29-05-2022,Balaghat,Madhya Pradesh,2633.37,2649.7,-16.33,-0.6,1.2,0,FALSE,0,92.7,100,none,2022-23,2827,855.9,2649.7
30-05-2022,Balaghat,Madhya Pradesh,2633.37,2458.62,174.75,6.6,12,0,TRUE,4.8,100,100,blasting_delay,2022-23,2827,855.9,2458.62
31-05-2022,Balaghat,Madhya Pradesh,2633.37,2562.54,70.83,2.7,6.2,0,FALSE,0,84.9,86.8,transport_issue,2022-23,2827,855.9,2562.54
01-06-2022,Balaghat,Madhya Pradesh,2633.37,2414.45,218.92,8.3,29.1,0,FALSE,0,69,94.9,transport_issue,2022-23,2827,855.9,2414.45
02-06-2022,Balaghat,Madhya Pradesh,2633.37,2270.27,363.1,13.8,43.8,4,FALSE,0,81.3,94.7,heavy_rainfall,2022-23,2827,855.9,2270.27
03-06-2022,Balaghat,Madhya Pradesh,2633.37,2420.28,213.09,8.1,32.8,0,FALSE,0,76.4,91.1,transport_issue,2022-23,2827,855.9,2420.28
04-06-2022,Balaghat,Madhya Pradesh,2633.37,2433.63,199.74,7.6,36.1,0,FALSE,0,73.4,94.2,transport_issue,2022-23,2827,855.9,2433.63
05-06-2022,Balaghat,Madhya Pradesh,2633.37,2264.76,368.61,14,85.6,0,TRUE,5.4,82.2,98.4,heavy_rainfall,2022-23,2827,855.9,2264.76
06-06-2022,Balaghat,Madhya Pradesh,2633.37,2485.09,148.28,5.6,14.8,0,FALSE,0,72.9,100,transport_issue,2022-23,2827,855.9,2485.09
07-06-2022,Balaghat,Madhya Pradesh,2633.37,2426.68,206.69,7.8,45.4,0,FALSE,0,76.1,100,transport_issue,2022-23,2827,855.9,2426.68
08-06-2022,Balaghat,Madhya Pradesh,2633.37,2424.69,208.68,7.9,1.2,0,FALSE,0,78.1,90.7,transport_issue,2022-23,2827,855.9,2424.69
09-06-2022,Balaghat,Madhya Pradesh,2633.37,2605.15,28.22,1.1,29.5,0,FALSE,0,87.5,100,transport_issue,2022-23,2827,855.9,2605.15
10-06-2022,Balaghat,Madhya Pradesh,2633.37,2490.29,143.08,5.4,50.2,0,FALSE,0,87.6,100,heavy_rainfall,2022-23,2827,855.9,2490.29
11-06-2022,Balaghat,Madhya Pradesh,2633.37,2484.36,149.01,5.7,25.5,0,FALSE,0,82.8,93.5,transport_issue,2022-23,2827,855.9,2484.36
12-06-2022,Balaghat,Madhya Pradesh,2633.37,2385.14,248.23,9.4,17.8,5.1,FALSE,0,84.3,94.7,transport_issue,2022-23,2827,855.9,2385.14
13-06-2022,Balaghat,Madhya Pradesh,2633.37,2557,76.37,2.9,15.4,0,FALSE,0,86.5,88.3,transport_issue,2022-23,2827,855.9,2557
14-06-2022,Balaghat,Madhya Pradesh,2633.37,2496.31,137.06,5.2,37.1,0,FALSE,0,79.2,93.8,transport_issue,2022-23,2827,855.9,2496.31
15-06-2022,Balaghat,Madhya Pradesh,2633.37,2382.13,251.24,9.5,39.5,0,TRUE,2.7,72,92.6,transport_issue,2022-23,2827,855.9,2382.13
16-06-2022,Balaghat,Madhya Pradesh,2633.37,2548.02,85.35,3.2,42.8,0,FALSE,0,85.5,94.2,heavy_rainfall,2022-23,2827,855.9,2548.02
17-06-2022,Balaghat,Madhya Pradesh,2633.37,2564.39,68.98,2.6,28.4,0,FALSE,0,82.5,94.5,transport_issue,2022-23,2827,855.9,2564.39
18-06-2022,Balaghat,Madhya Pradesh,2633.37,2526.15,107.22,4.1,27.3,0,FALSE,0,83.7,100,transport_issue,2022-23,2827,855.9,2526.15
19-06-2022,Balaghat,Madhya Pradesh,2633.37,2565.8,67.57,2.6,20.1,0,FALSE,0,87.7,99.2,transport_issue,2022-23,2827,855.9,2565.8
20-06-2022,Balaghat,Madhya Pradesh,2633.37,2352.34,281.03,10.7,12,5.3,FALSE,0,76.7,96.1,transport_issue,2022-23,2827,855.9,2352.34
21-06-2022,Balaghat,Madhya Pradesh,2633.37,2504.38,128.99,4.9,5.9,0,FALSE,0,88.9,95.7,transport_issue,2022-23,2827,855.9,2504.38
22-06-2022,Balaghat,Madhya Pradesh,2633.37,2411.64,221.73,8.4,30.1,0,TRUE,3.8,84.9,96.3,transport_issue,2022-23,2827,855.9,2411.64
23-06-2022,Balaghat,Madhya Pradesh,2633.37,2450.32,183.05,7,59.1,0,FALSE,0,79.3,100,heavy_rainfall,2022-23,2827,855.9,2450.32
24-06-2022,Balaghat,Madhya Pradesh,2633.37,2421.25,212.12,8.1,50.1,0,FALSE,0,71.3,100,transport_issue,2022-23,2827,855.9,2421.25
25-06-2022,Balaghat,Madhya Pradesh,2633.37,2688.58,-55.21,-2.1,28.7,0,FALSE,0,97.9,100,none,2022-23,2827,855.9,2688.58
26-06-2022,Balaghat,Madhya Pradesh,2633.37,2604.29,29.08,1.1,38.3,0,FALSE,0,91.6,93,heavy_rainfall,2022-23,2827,855.9,2604.29
27-06-2022,Balaghat,Madhya Pradesh,2633.37,2454.06,179.31,6.8,23.3,2.7,FALSE,0,86.7,95.2,transport_issue,2022-23,2827,855.9,2454.06
28-06-2022,Balaghat,Madhya Pradesh,2633.37,2507.94,125.43,4.8,52.7,0,FALSE,0,87.1,85.7,heavy_rainfall,2022-23,2827,855.9,2507.94
29-06-2022,Balaghat,Madhya Pradesh,2633.37,2473.77,159.6,6.1,7.4,0,FALSE,0,74.2,94,transport_issue,2022-23,2827,855.9,2473.77
30-06-2022,Balaghat,Madhya Pradesh,2633.37,2224.86,408.51,15.5,20.1,5.5,FALSE,0,80.4,90.6,transport_issue,2022-23,2827,855.9,2224.86
01-07-2022,Balaghat,Madhya Pradesh,2633.37,2475.2,158.17,6,25,0,FALSE,0,82.9,94.5,transport_issue,2022-23,2827,855.9,2475.2
02-07-2022,Balaghat,Madhya Pradesh,2633.37,2377.79,255.58,9.7,28.1,0,TRUE,4.9,90.3,84.4,labour_shortage,2022-23,2827,855.9,2377.79
03-07-2022,Balaghat,Madhya Pradesh,2633.37,2374.81,258.56,9.8,57.7,0,FALSE,0,69.6,89.4,heavy_rainfall,2022-23,2827,855.9,2374.81
04-07-2022,Balaghat,Madhya Pradesh,2633.37,2474.49,158.88,6,12.8,0,FALSE,0,81.5,95.1,transport_issue,2022-23,2827,855.9,2474.49
05-07-2022,Balaghat,Madhya Pradesh,2633.37,2373.04,260.33,9.9,41.7,0,FALSE,0,75.2,90.1,transport_issue,2022-23,2827,855.9,2373.04
06-07-2022,Balaghat,Madhya Pradesh,2633.37,2478.47,154.9,5.9,41.5,0,FALSE,0,91.9,91,heavy_rainfall,2022-23,2827,855.9,2478.47
07-07-2022,Balaghat,Madhya Pradesh,2633.37,2464.31,169.06,6.4,38.3,0,TRUE,1.9,80.1,88.3,transport_issue,2022-23,2827,855.9,2464.31
08-07-2022,Balaghat,Madhya Pradesh,2633.37,2366.47,266.9,10.1,77.1,0,FALSE,0,72.7,97.4,heavy_rainfall,2022-23,2827,855.9,2366.47
09-07-2022,Balaghat,Madhya Pradesh,2633.37,2431.99,201.38,7.6,57.7,0,FALSE,0,69,98.9,heavy_rainfall,2022-23,2827,855.9,2431.99
10-07-2022,Balaghat,Madhya Pradesh,2633.37,2434.12,199.25,7.6,24.4,0,FALSE,0,73.9,98,transport_issue,2022-23,2827,855.9,2434.12
11-07-2022,Balaghat,Madhya Pradesh,2633.37,2504.37,129,4.9,7.4,0,FALSE,0,82.6,88.5,transport_issue,2022-23,2827,855.9,2504.37
12-07-2022,Balaghat,Madhya Pradesh,2633.37,2547.94,85.43,3.2,37.3,0,TRUE,1.7,91.7,100,heavy_rainfall,2022-23,2827,855.9,2547.94
13-07-2022,Balaghat,Madhya Pradesh,2633.37,2443.42,189.95,7.2,3.6,0,FALSE,0,74.3,95.7,transport_issue,2022-23,2827,855.9,2443.42
14-07-2022,Balaghat,Madhya Pradesh,2633.37,2505.64,127.73,4.9,13,0,FALSE,0,85.4,88,transport_issue,2022-23,2827,855.9,2505.64
15-07-2022,Balaghat,Madhya Pradesh,2633.37,2498.98,134.39,5.1,35.8,0,FALSE,0,83.1,92.7,transport_issue,2022-23,2827,855.9,2498.98
16-07-2022,Balaghat,Madhya Pradesh,2633.37,2518.53,114.84,4.4,27.4,0,FALSE,0,83.1,93.7,transport_issue,2022-23,2827,855.9,2518.53
17-07-2022,Balaghat,Madhya Pradesh,2633.37,2564.35,69.02,2.6,14.7,0,FALSE,0,92.9,97.5,transport_issue,2022-23,2827,855.9,2564.35
18-07-2022,Balaghat,Madhya Pradesh,2633.37,2257.03,376.34,14.3,5.3,7.7,FALSE,0,83.1,89.7,transport_issue,2022-23,2827,855.9,2257.03
19-07-2022,Balaghat,Madhya Pradesh,2633.37,2546.83,86.54,3.3,44.4,0,FALSE,0,85.7,88.9,heavy_rainfall,2022-23,2827,855.9,2546.83
20-07-2022,Balaghat,Madhya Pradesh,2633.37,2569.73,63.64,2.4,23.9,0,FALSE,0,83.6,89.9,transport_issue,2022-23,2827,855.9,2569.73
21-07-2022,Balaghat,Madhya Pradesh,2633.37,2175.25,458.12,17.4,34.7,7.2,FALSE,0,80.7,98.8,transport_issue,2022-23,2827,855.9,2175.25
22-07-2022,Balaghat,Madhya Pradesh,2633.37,2357.79,275.58,10.5,16.3,0,TRUE,4.5,89.5,91.4,transport_issue,2022-23,2827,855.9,2357.79
23-07-2022,Balaghat,Madhya Pradesh,2633.37,2356.51,276.86,10.5,33.9,0,FALSE,0,70.4,89.6,transport_issue,2022-23,2827,855.9,2356.51
24-07-2022,Balaghat,Madhya Pradesh,2633.37,2496.81,136.56,5.2,38.1,0,FALSE,0,78.9,100,transport_issue,2022-23,2827,855.9,2496.81
25-07-2022,Balaghat,Madhya Pradesh,2633.37,2409.18,224.19,8.5,47.4,0,FALSE,0,83.9,91.5,heavy_rainfall,2022-23,2827,855.9,2409.18
26-07-2022,Balaghat,Madhya Pradesh,2633.37,2466.31,167.06,6.3,43.7,0,FALSE,0,81.8,95.9,heavy_rainfall,2022-23,2827,855.9,2466.31
27-07-2022,Balaghat,Madhya Pradesh,2633.37,2508.99,124.38,4.7,9.5,0,FALSE,0,86.1,100,transport_issue,2022-23,2827,855.9,2508.99
28-07-2022,Balaghat,Madhya Pradesh,2633.37,2506.54,126.83,4.8,14.2,0,FALSE,0,83.7,100,transport_issue,2022-23,2827,855.9,2506.54
29-07-2022,Balaghat,Madhya Pradesh,2633.37,2388.31,245.06,9.3,16.3,0,TRUE,5.8,78.4,100,transport_issue,2022-23,2827,855.9,2388.31
30-07-2022,Balaghat,Madhya Pradesh,2633.37,2620.66,12.71,0.5,15.5,0,FALSE,0,96.1,98.8,transport_issue,2022-23,2827,855.9,2620.66
31-07-2022,Balaghat,Madhya Pradesh,2633.37,2215.91,417.46,15.9,14.9,6.9,FALSE,0,79.7,91.6,transport_issue,2022-23,2827,855.9,2215.91
01-08-2022,Balaghat,Madhya Pradesh,2633.37,2558.8,74.57,2.8,27.1,0,FALSE,0,78.9,95.9,transport_issue,2022-23,2827,855.9,2558.8
02-08-2022,Balaghat,Madhya Pradesh,2633.37,2576.77,56.6,2.1,11.7,0,FALSE,0,85.5,93.6,transport_issue,2022-23,2827,855.9,2576.77
03-08-2022,Balaghat,Madhya Pradesh,2633.37,2536.75,96.62,3.7,47.8,0,FALSE,0,84.5,99,heavy_rainfall,2022-23,2827,855.9,2536.75
04-08-2022,Balaghat,Madhya Pradesh,2633.37,2338.34,295.03,11.2,67.9,2.2,FALSE,0,79.8,91.7,heavy_rainfall,2022-23,2827,855.9,2338.34
05-08-2022,Balaghat,Madhya Pradesh,2633.37,2521.45,111.92,4.3,32.8,0,FALSE,0,79.6,95.8,transport_issue,2022-23,2827,855.9,2521.45
06-08-2022,Balaghat,Madhya Pradesh,2633.37,2527.14,106.23,4,25.9,0,FALSE,0,83.6,93.4,transport_issue,2022-23,2827,855.9,2527.14
07-08-2022,Balaghat,Madhya Pradesh,2633.37,2260.71,372.66,14.2,23.2,7.6,FALSE,0,83.7,94.3,transport_issue,2022-23,2827,855.9,2260.71
08-08-2022,Balaghat,Madhya Pradesh,2633.37,2545.97,87.4,3.3,18,0,FALSE,0,78.6,96.5,transport_issue,2022-23,2827,855.9,2545.97
09-08-2022,Balaghat,Madhya Pradesh,2633.37,2478.14,155.23,5.9,22.5,0,FALSE,0,69.8,90.1,transport_issue,2022-23,2827,855.9,2478.14
10-08-2022,Balaghat,Madhya Pradesh,2633.37,2559.56,73.81,2.8,21.7,0,FALSE,0,74.3,98.5,transport_issue,2022-23,2827,855.9,2559.56
11-08-2022,Balaghat,Madhya Pradesh,2633.37,2456.31,177.06,6.7,20.9,0,FALSE,0,75.1,98.6,transport_issue,2022-23,2827,855.9,2456.31
12-08-2022,Balaghat,Madhya Pradesh,2633.37,2605.06,28.31,1.1,21.2,0,FALSE,0,81.5,99.5,transport_issue,2022-23,2827,855.9,2605.06
13-08-2022,Balaghat,Madhya Pradesh,2633.37,2424.99,208.38,7.9,30.6,0,FALSE,0,80.6,91.2,transport_issue,2022-23,2827,855.9,2424.99
14-08-2022,Balaghat,Madhya Pradesh,2633.37,2467.08,166.29,6.3,31.8,0,FALSE,0,77.9,100,transport_issue,2022-23,2827,855.9,2467.08
15-08-2022,Balaghat,Madhya Pradesh,2633.37,2449.5,183.87,7,13.2,0,FALSE,0,81.9,93.9,transport_issue,2022-23,2827,855.9,2449.5
16-08-2022,Balaghat,Madhya Pradesh,2633.37,2593.2,40.17,1.5,24.5,0,FALSE,0,86.7,96.7,transport_issue,2022-23,2827,855.9,2593.2
17-08-2022,Balaghat,Madhya Pradesh,2633.37,2551.14,82.23,3.1,24.5,0,FALSE,0,78.6,100,transport_issue,2022-23,2827,855.9,2551.14
18-08-2022,Balaghat,Madhya Pradesh,2633.37,2430.21,203.16,7.7,24.6,0,FALSE,0,80.5,92.3,transport_issue,2022-23,2827,855.9,2430.21
19-08-2022,Balaghat,Madhya Pradesh,2633.37,2428.87,204.5,7.8,21.7,0,FALSE,0,77.6,93,transport_issue,2022-23,2827,855.9,2428.87
20-08-2022,Balaghat,Madhya Pradesh,2633.37,2541.97,91.4,3.5,17.3,0,FALSE,0,82.4,92.4,transport_issue,2022-23,2827,855.9,2541.97
21-08-2022,Balaghat,Madhya Pradesh,2633.37,2580.98,52.39,2,33.4,0,FALSE,0,86.1,95.5,transport_issue,2022-23,2827,855.9,2580.98
22-08-2022,Balaghat,Madhya Pradesh,2633.37,2494.42,138.95,5.3,48.3,0,FALSE,0,78.1,93.1,heavy_rainfall,2022-23,2827,855.9,2494.42
23-08-2022,Balaghat,Madhya Pradesh,2633.37,2561.42,71.95,2.7,9.9,0,FALSE,0,78.8,91.3,transport_issue,2022-23,2827,855.9,2561.42
24-08-2022,Balaghat,Madhya Pradesh,2633.37,2503.61,129.76,4.9,42.6,0,FALSE,0,80.5,88.3,transport_issue,2022-23,2827,855.9,2503.61
25-08-2022,Balaghat,Madhya Pradesh,2633.37,2505.93,127.44,4.8,47.8,0,FALSE,0,87.2,88.8,heavy_rainfall,2022-23,2827,855.9,2505.93
26-08-2022,Balaghat,Madhya Pradesh,2633.37,2177.5,455.87,17.3,87.2,4.5,FALSE,0,86.8,95.7,heavy_rainfall,2022-23,2827,855.9,2177.5
27-08-2022,Balaghat,Madhya Pradesh,2633.37,2523.89,109.48,4.2,65.9,0,FALSE,0,90.3,92.8,heavy_rainfall,2022-23,2827,855.9,2523.89
28-08-2022,Balaghat,Madhya Pradesh,2633.37,2532.9,100.47,3.8,14.1,0,FALSE,0,81.1,99.2,transport_issue,2022-23,2827,855.9,2532.9
29-08-2022,Balaghat,Madhya Pradesh,2633.37,2414.62,218.75,8.3,54.5,0,FALSE,0,71.6,89.8,heavy_rainfall,2022-23,2827,855.9,2414.62
30-08-2022,Balaghat,Madhya Pradesh,2633.37,2251.4,381.97,14.5,54.9,3.4,TRUE,1.8,69.4,96,heavy_rainfall,2022-23,2827,855.9,2251.4
31-08-2022,Balaghat,Madhya Pradesh,2633.37,2551.84,81.53,3.1,5.3,0,FALSE,0,79.4,93.7,transport_issue,2022-23,2827,855.9,2551.84
01-09-2022,Balaghat,Madhya Pradesh,2633.37,2270.24,363.13,13.8,90.6,0,FALSE,0,80,92.8,heavy_rainfall,2022-23,2827,855.9,2270.24
02-09-2022,Balaghat,Madhya Pradesh,2633.37,2420.34,213.03,8.1,41.9,0,FALSE,0,82.3,95.3,transport_issue,2022-23,2827,855.9,2420.34
03-09-2022,Balaghat,Madhya Pradesh,2633.37,1942.16,691.21,26.2,2.8,15.4,FALSE,0,81.2,99.3,equipment_failure,2022-23,2827,855.9,1942.16
04-09-2022,Balaghat,Madhya Pradesh,2633.37,2421.26,212.11,8.1,91.2,0,FALSE,0,81.2,97.5,heavy_rainfall,2022-23,2827,855.9,2421.26
05-09-2022,Balaghat,Madhya Pradesh,2633.37,2572.78,60.59,2.3,9.6,0,FALSE,0,85.3,91.3,transport_issue,2022-23,2827,855.9,2572.78
06-09-2022,Balaghat,Madhya Pradesh,2633.37,2504.35,129.02,4.9,28,0,FALSE,0,84.2,99.4,transport_issue,2022-23,2827,855.9,2504.35
07-09-2022,Balaghat,Madhya Pradesh,2633.37,2384.59,248.78,9.4,55.8,0,TRUE,4.3,81.6,96.3,heavy_rainfall,2022-23,2827,855.9,2384.59
08-09-2022,Balaghat,Madhya Pradesh,2633.37,2457.05,176.32,6.7,32.2,4,FALSE,0,90.6,97.4,transport_issue,2022-23,2827,855.9,2457.05
